"metrica","algoritmo","media","desviacion_media"
"pctCorrect","RandomForest",59.107526881720425,0.576344086021507
"pctCorrect","IBk5",58.0,0.5935483870967744
"pctCorrect","J48",57.25806451612904,0.7741935483870932
"pctCorrect","REPTree",56.21505376344086,0.6666666666666664
"pctCorrect","IBk10",56.05376344086021,0.4903225806451637
"pctCorrect","SimpleLogistic",55.967741935483865,0.39784946236559193
"pctCorrect","A2DE",55.956989247311824,0.6752688172043051
"pctCorrect","A1DE",55.236559139784944,0.5268817204301086
"pctCorrect","SMO",55.11827956989248,0.5075268817204268
"pctCorrect","IBk1",54.90322580645161,0.43870967741935374
"pctCorrect","BayesNet",54.50537634408603,0.5698924731182778
"pctCorrect","RandomTree",53.88172043010752,1.1741935483870953
"pctCorrect","DecisionTable",53.58064516129032,0.8215053763440856
"pctCorrect","Logistic",53.204301075268816,0.520430107526883
"pctCorrect","MultilayerPerceptron",51.602150537634394,1.150537634408601
"pctCorrect","RBFClassifier",51.49462365591398,0.443010752688172
"pctCorrect","RBFNetwork",49.67741935483871,0.8387096774193544
"pctCorrect","NaiveBayes",42.89247311827957,0.7204301075268809
"kappa","IBk5",0.41264450192929136,0.007701611331401942
"kappa","RandomForest",0.4108312998023679,0.009056082453820048
"kappa","J48",0.39552546713219705,0.010891243529001903
"kappa","REPTree",0.3745268683345241,0.009330691155560289
"kappa","A2DE",0.3733411531492222,0.0097539820456157
"kappa","IBk10",0.3732892031185416,0.0075729926815207346
"kappa","IBk1",0.3646481721832976,0.006369533943277878
"kappa","A1DE",0.3637655144245519,0.008578806869671923
"kappa","RandomTree",0.3474293319531281,0.017049005008864037
"kappa","SMO",0.34473162087436476,0.00885351745801517
"kappa","SimpleLogistic",0.3437873932263488,0.006643537119423731
"kappa","BayesNet",0.3404137788746594,0.008261984177034193
"kappa","DecisionTable",0.333265865904396,0.010961973631130778
"kappa","Logistic",0.3299400446752664,0.007565121264557856
"kappa","MultilayerPerceptron",0.29557003378135616,0.01820296212569574
"kappa","RBFNetwork",0.26638765544253007,0.01186534185867642
"kappa","NaiveBayes",0.2387328977272391,0.009085172623888388
"kappa","RBFClassifier",0.237277476051247,0.008705470739590881
"weightedFMeasure","RandomForest",0.5802714293068776,0.006548434961207461
"weightedFMeasure","IBk5",0.5788447104031593,0.005447528648936351
"weightedFMeasure","J48",0.5692524150631951,0.00771981927398595
"weightedFMeasure","A2DE",0.5540790199877066,0.0067245911106141865
"weightedFMeasure","REPTree",0.5532652705638388,0.007512535106225349
"weightedFMeasure","IBk10",0.5519728193922109,0.0056835473076944035
"weightedFMeasure","A1DE",0.5471049376573849,0.00593775991463451
"weightedFMeasure","IBk1",0.5468601538907102,0.004531202489264618
"weightedFMeasure","RandomTree",0.5357549415095324,0.012098812096718514
"weightedFMeasure","SimpleLogistic",0.5345408372231356,0.0046761369112235385
"weightedFMeasure","SMO",0.5338300547711764,0.00615805013688806
"weightedFMeasure","BayesNet",0.5299066899559857,0.005788433265549809
"weightedFMeasure","Logistic",0.5227845552480204,0.005623995180481356
"weightedFMeasure","DecisionTable",0.5223239328894624,0.007362397976794721
"weightedFMeasure","MultilayerPerceptron",0.4962362388174868,0.012443648854490452
"weightedFMeasure","RBFNetwork",0.4786363424765657,0.00805025410141737
"weightedFMeasure","NaiveBayes",0.4471322122849829,0.007457945576420877
"weightedFMeasure","RBFClassifier",nan,nan
"weightedAreaUnderPRC","RandomForest",0.6425213600283405,0.003589225697553722
"weightedAreaUnderPRC","IBk10",0.5908021478865246,0.0033097663250453934
"weightedAreaUnderPRC","IBk5",0.5889555379301811,0.0027955025041049965
"weightedAreaUnderPRC","A2DE",0.5793487982242136,0.00297748603959197
"weightedAreaUnderPRC","SimpleLogistic",0.5758860100758281,0.003053567024762094
"weightedAreaUnderPRC","A1DE",0.574558289798983,0.0026446554097098287
"weightedAreaUnderPRC","REPTree",0.5648725120240652,0.007158684534123272
"weightedAreaUnderPRC","BayesNet",0.5517730446742596,0.0028206563913044658
"weightedAreaUnderPRC","Logistic",0.5441554536116936,0.0033855649992735825
"weightedAreaUnderPRC","DecisionTable",0.5391712696532156,0.004317368301798763
"weightedAreaUnderPRC","RBFClassifier",0.5346699040829727,0.004810370942903397
"weightedAreaUnderPRC","J48",0.5258140405498886,0.008209877234066498
"weightedAreaUnderPRC","MultilayerPerceptron",0.48975116439538635,0.013771083747615898
"weightedAreaUnderPRC","RBFNetwork",0.48913893430882577,0.004988300946570057
"weightedAreaUnderPRC","NaiveBayes",0.48525898611232093,0.004994211393089398
"weightedAreaUnderPRC","RandomTree",0.46183528774658045,0.010485336000559203
"weightedAreaUnderPRC","SMO",0.4530682031330155,0.004816306265128778
"weightedAreaUnderPRC","IBk1",0.43564304275197463,0.003700559021396194
"weightedAreaUnderROC","RandomForest",0.8270517511761717,0.0013071534683626429
"weightedAreaUnderROC","IBk10",0.8159803090497937,0.0025520572081686676
"weightedAreaUnderROC","IBk5",0.807876018696098,0.0025901313460782727
"weightedAreaUnderROC","A2DE",0.8021011931955171,0.0019492296613775161
"weightedAreaUnderROC","A1DE",0.7980755867494944,0.001938595657540687
"weightedAreaUnderROC","SimpleLogistic",0.795191488515168,0.0023611276029172233
"weightedAreaUnderROC","REPTree",0.7941320495228241,0.0035333385557865136
"weightedAreaUnderROC","RBFClassifier",0.7819296950612669,0.002485379867542592
"weightedAreaUnderROC","BayesNet",0.775140370808092,0.003602547741456086
"weightedAreaUnderROC","Logistic",0.7718280945299496,0.00205563061783679
