"metrica","media","desviacion_media"
"pctCorrect",60.65591397849463,0.5720430107526895
"kappa",0.43180668832225166,0.008754243216762537
"weightedFMeasure",0.5940265689332231,0.006810520343582871
"weightedAreaUnderPRC",0.6533808770341665,0.0034393569860777795
"weightedAreaUnderROC",0.8306844200857373,0.00208123369472194
