areaUnderPRC,areaUnderROC,avgCost,correct,coverageOfTestCasesByPredictedRegions,errorRate,falseNegativeRate,falsePositiveRate,fMeasure,incorrect,kappa,KBInformation,KBMeanInformation,meanAbsoluteError,numFalseNegatives,numFalsePositives,numInstances,numTrueNegatives,numTruePositives,pctCorrect,pctIncorrect,pctUnclassified,precision,recall,relativeAbsoluteError,rootMeanSquaredError,totalCost,trueNegativeRate,truePositiveRate,unclassified,weightedAreaUnderPRC,weightedAreaUnderROC,weightedFalseNegativeRate,weightedFalsePositiveRate,weightedFMeasure,weightedRecall,weightedTrueNegativeRate,weightedTruePositiveRate,key_fold
NaN,NaN,0.0,538.0,98.06451612903226,0.421505376344086,NaN,0.0,NaN,392.0,0.3864227348082571,646.0851957962246,0.6947152642970157,0.21620436428534193,0.0,0.0,930.0,930.0,0.0,57.8494623655914,42.1505376344086,0.0,NaN,NaN,75.85767941257028,0.32576116452657006,0.0,1.0,NaN,0.0,0.6303548002624583,0.826648907382864,0.421505376344086,0.17806278493966804,0.562432934168116,0.578494623655914,0.821937215060332,0.578494623655914,1
NaN,NaN,0.0,545.0,98.06451612903226,0.41397849462365593,NaN,0.0,NaN,385.0,0.3961863870849151,653.3631803759232,0.7025410541676593,0.21512866355671317,0.0,0.0,930.0,930.0,0.0,58.60215053763441,41.39784946236559,0.0,NaN,NaN,75.48025797944625,0.3250085434334424,0.0,1.0,NaN,0.0,0.637513655769672,0.8283880377186053,0.41397849462365593,0.17907559762092992,0.5697363475959861,0.5860215053763441,0.82092440237907,0.5860215053763441,2
NaN,NaN,0.0,549.0,98.06451612903226,0.4096774193548387,NaN,0.0,NaN,381.0,0.40827147401908803,650.3148001494922,0.6992632259671959,0.21570743642936543,0.0,0.0,930.0,930.0,0.0,59.03225806451613,40.96774193548387,0.0,NaN,NaN,75.68332680819783,0.32474494197808396,0.0,1.0,NaN,0.0,0.6376959579629811,0.8286157245124461,0.4096774193548387,0.16190870538092406,0.5764766805082181,0.5903225806451613,0.8380912946190759,0.5903225806451613,3
NaN,NaN,0.0,549.0,97.74193548387096,0.4096774193548387,NaN,0.0,NaN,381.0,0.40717057084489866,641.1558795982505,0.6894149242991942,0.21700943068831294,0.0,0.0,930.0,930.0,0.0,59.03225806451613,40.96774193548387,0.0,NaN,NaN,76.14014581561551,0.3257765324375824,0.0,1.0,NaN,0.0,0.6316605829603962,0.8265424116620904,0.4096774193548387,0.1680682524698696,0.5772731601312339,0.5903225806451613,0.8319317475301303,0.5903225806451613,4
NaN,NaN,0.0,531.0,97.41935483870968,0.4290322580645161,NaN,0.0,NaN,399.0,0.3786857412672419,643.3925896443596,0.6918199888649028,0.21694038884639952,0.0,0.0,930.0,930.0,0.0,57.096774193548384,42.903225806451616,0.0,NaN,NaN,76.11592172593438,0.3260764561703462,0.0,1.0,NaN,0.0,0.6325372507987407,0.8260238128894066,0.4290322580645161,0.17347025289139142,0.556790818487409,0.5709677419354838,0.8265297471086085,0.5709677419354838,5
NaN,NaN,0.0,546.0,97.52688172043011,0.4129032258064516,NaN,0.0,NaN,384.0,0.4051836565415306,651.8179687043684,0.7008795362412563,0.21554709639460465,0.0,0.0,930.0,930.0,0.0,58.70967741935484,41.29032258064516,0.0,NaN,NaN,75.62706974329487,0.32420940045784064,0.0,1.0,NaN,0.0,0.6426632416033389,0.8316862253489656,0.4129032258064516,0.16357109064055547,0.5753309870104222,0.5870967741935483,0.8364289093594446,0.5870967741935483,6
NaN,NaN,0.0,536.0,98.06451612903226,0.4236559139784946,NaN,0.0,NaN,394.0,0.38081824188339936,636.3334763567619,0.6842295444696365,0.21611794415123953,0.0,0.0,930.0,930.0,0.0,57.634408602150536,42.365591397849464,0.0,NaN,NaN,75.82735795791659,0.3265540779853912,0.0,1.0,NaN,0.0,0.6302086141804649,0.8263020093504337,0.4236559139784946,0.18222000068520736,0.5572308683207512,0.5763440860215053,0.8177799993147925,0.5763440860215053,7
NaN,NaN,0.0,541.0,97.31182795698925,0.4182795698924731,NaN,0.0,NaN,389.0,0.391708184036144,624.7989214252353,0.6718267972314358,0.21859427641506243,0.0,0.0,930.0,930.0,0.0,58.17204301075269,41.82795698924731,0.0,NaN,NaN,76.69620637181909,0.32849311389146896,0.0,1.0,NaN,0.0,0.6196361086896698,0.8205282924884132,0.4182795698924731,0.17362276595811285,0.5645601493246424,0.5817204301075268,0.8263772340418871,0.5817204301075268,8
NaN,NaN,0.0,540.0,97.31182795698925,0.41935483870967744,NaN,0.0,NaN,390.0,0.3851969251370891,640.3429259953549,0.6885407806401665,0.21571640824733698,0.0,0.0,930.0,930.0,0.0,58.064516129032256,41.935483870967744,0.0,NaN,NaN,75.68647466922098,0.3261511661544096,0.0,1.0,NaN,0.0,0.6341254042249421,0.8235481463630855,0.41935483870967744,0.18493999054839375,0.5624052663376343,0.5806451612903226,0.8150600094516063,0.5806451612903226,9
NaN,NaN,0.0,547.0,98.17204301075269,0.4118279569892473,NaN,0.0,NaN,383.0,0.4013261284277226,634.817566778666,0.6825995341706086,0.21678453230658043,0.0,0.0,930.0,930.0,0.0,58.81720430107527,41.18279569892473,0.0,NaN,NaN,76.06123774454952,0.32630955524310645,0.0,1.0,NaN,0.0,0.6295950771587542,0.8241725339222877,0.4118279569892473,0.17504513797882382,0.5734080988894238,0.5881720430107527,0.8249548620211763,0.5881720430107527,10
