areaUnderPRC,areaUnderROC,avgCost,correct,coverageOfTestCasesByPredictedRegions,errorRate,falseNegativeRate,falsePositiveRate,fMeasure,incorrect,kappa,KBInformation,KBMeanInformation,meanAbsoluteError,numFalseNegatives,numFalsePositives,numInstances,numTrueNegatives,numTruePositives,pctCorrect,pctIncorrect,pctUnclassified,precision,recall,relativeAbsoluteError,rootMeanSquaredError,totalCost,trueNegativeRate,truePositiveRate,unclassified,weightedAreaUnderPRC,weightedAreaUnderROC,weightedFalseNegativeRate,weightedFalsePositiveRate,weightedFMeasure,weightedRecall,weightedTrueNegativeRate,weightedTruePositiveRate,key_fold
NaN,NaN,0.0,498.0,84.73118279569893,0.4645161290322581,NaN,0.0,NaN,432.0,0.33240944756283597,650.4930371918123,0.6994548787008734,0.20678500239933914,0.0,0.0,930.0,930.0,0.0,53.54838709677419,46.45161290322581,0.0,NaN,NaN,72.55279268384336,0.35698448269962857,0.0,1.0,NaN,0.0,0.546193655495707,0.7695673716644149,0.4645161290322581,0.18682277344014295,0.5252088060776221,0.535483870967742,0.8131772265598571,0.535483870967742,1
NaN,NaN,0.0,500.0,85.05376344086021,0.46236559139784944,NaN,0.0,NaN,430.0,0.33994979062923464,653.9959328442995,0.7032214331659135,0.20663669539815283,0.0,0.0,930.0,930.0,0.0,53.763440860215056,46.236559139784944,0.0,NaN,NaN,72.50075754113092,0.3571619648022953,0.0,1.0,NaN,0.0,0.5368193557896948,0.7686426473682784,0.46236559139784944,0.17913842997378052,0.5303300579459095,0.5376344086021505,0.8208615700262194,0.5376344086021505,2
NaN,NaN,0.0,496.0,84.6236559139785,0.4666666666666667,NaN,0.0,NaN,434.0,0.33474859819553726,659.9419883902808,0.7096150412798718,0.20683629422905245,0.0,0.0,930.0,930.0,0.0,53.333333333333336,46.666666666666664,0.0,NaN,NaN,72.57078898649794,0.3560638166240582,0.0,1.0,NaN,0.0,0.5478221371416476,0.7725862516766432,0.4666666666666667,0.17786493993236355,0.5262223192834554,0.5333333333333333,0.8221350600676364,0.5333333333333333,3
NaN,NaN,0.0,503.0,84.94623655913979,0.4591397849462366,NaN,0.0,NaN,427.0,0.34293018291926236,659.9047656812991,0.709575016861612,0.20595025651911072,0.0,0.0,930.0,930.0,0.0,54.086021505376344,45.913978494623656,0.0,NaN,NaN,72.25991290973437,0.3566090623631953,0.0,1.0,NaN,0.0,0.5410962534465309,0.7694209898747255,0.4591397849462366,0.17820622047021212,0.532227631892354,0.5408602150537635,0.8217937795297878,0.5408602150537635,4
NaN,NaN,0.0,483.0,85.91397849462365,0.4806451612903226,NaN,0.0,NaN,447.0,0.310044363893467,659.7813702621571,0.7094423336152227,0.20564378902438313,0.0,0.0,930.0,930.0,0.0,51.935483870967744,48.064516129032256,0.0,NaN,NaN,72.15238541813036,0.3554803486941616,0.0,1.0,NaN,0.0,0.5395353808405757,0.772744186891565,0.4806451612903226,0.1891136308815017,0.5083850951843655,0.5193548387096775,0.8108863691184983,0.5193548387096775,5
NaN,NaN,0.0,499.0,85.3763440860215,0.46344086021505376,NaN,0.0,NaN,431.0,0.33513249910428744,654.5147233689033,0.703779272439681,0.2061609317002967,0.0,0.0,930.0,930.0,0.0,53.655913978494624,46.344086021505376,0.0,NaN,NaN,72.33383061443676,0.3548039111213548,0.0,1.0,NaN,0.0,0.5483586041418289,0.7751036238509891,0.46344086021505376,0.1826337031223854,0.5266457497821724,0.5365591397849462,0.8173662968776146,0.5365591397849462,6
NaN,NaN,0.0,489.0,84.94623655913979,0.47419354838709676,NaN,0.0,NaN,441.0,0.3229832120041598,641.7198736656827,0.6900213695329922,0.20816973175894737,0.0,0.0,930.0,930.0,0.0,52.58064516129032,47.41935483870968,0.0,NaN,NaN,73.03864021139714,0.3586019682949653,0.0,1.0,NaN,0.0,0.5422429993736044,0.7694680319466344,0.47419354838709676,0.1820111136045962,0.5174796445389434,0.5258064516129032,0.8179888863954038,0.5258064516129032,7
NaN,NaN,0.0,489.0,85.26881720430107,0.47419354838709676,NaN,0.0,NaN,441.0,0.32112630827979927,650.8049852784561,0.699790306751028,0.20687127139452824,0.0,0.0,930.0,930.0,0.0,52.58064516129032,47.41935483870968,0.0,NaN,NaN,72.58306110974681,0.356432830852065,0.0,1.0,NaN,0.0,0.5460152061087497,0.7725305303272033,0.47419354838709676,0.18258994776774304,0.5162406832200167,0.5258064516129032,0.8174100522322569,0.5258064516129032,8
NaN,NaN,0.0,494.0,85.48387096774194,0.46881720430107526,NaN,0.0,NaN,436.0,0.3277806882008501,655.4634601827041,0.7047994195512948,0.2058431308410033,0.0,0.0,930.0,930.0,0.0,53.11827956989247,46.88172043010753,0.0,NaN,NaN,72.22232668721021,0.3558738856076654,0.0,1.0,NaN,0.0,0.5451988791716107,0.7717632787065113,0.46881720430107526,0.18216285423417988,0.5209128221463493,0.5311827956989247,0.81783714576582,0.5311827956989247,9
NaN,NaN,0.0,497.0,85.05376344086021,0.46559139784946235,NaN,0.0,NaN,433.0,0.33229535596322973,658.9411237629201,0.7085388427558281,0.20582210906071768,0.0,0.0,930.0,930.0,0.0,53.44086021505376,46.55913978494624,0.0,NaN,NaN,72.21495096436163,0.3556873618089362,0.0,1.0,NaN,0.0,0.548272064606985,0.7764540329925319,0.46559139784946235,0.1821858445930163,0.5241927424090157,0.5344086021505376,0.8178141554069837,0.5344086021505376,10
