areaUnderPRC,areaUnderROC,avgCost,correct,coverageOfTestCasesByPredictedRegions,errorRate,falseNegativeRate,falsePositiveRate,fMeasure,incorrect,kappa,KBInformation,KBMeanInformation,meanAbsoluteError,numFalseNegatives,numFalsePositives,numInstances,numTrueNegatives,numTruePositives,pctCorrect,pctIncorrect,pctUnclassified,precision,recall,relativeAbsoluteError,rootMeanSquaredError,totalCost,trueNegativeRate,truePositiveRate,unclassified,weightedAreaUnderPRC,weightedAreaUnderROC,weightedFalseNegativeRate,weightedFalsePositiveRate,weightedFMeasure,weightedRecall,weightedTrueNegativeRate,weightedTruePositiveRate,key_fold
NaN,NaN,0.0,494.0,99.24731182795699,0.46881720430107526,NaN,0.0,NaN,436.0,0.32692706716619824,419.79838146264166,0.4513961090996147,0.2514902939617744,0.0,0.0,930.0,930.0,0.0,53.11827956989247,46.88172043010753,0.0,NaN,NaN,88.23813597743661,0.3471281201053913,0.0,1.0,NaN,0.0,0.5324238319858497,0.7619714268500944,0.46881720430107526,0.1786017718603524,0.517777167523221,0.5311827956989247,0.8213982281396476,0.5311827956989247,1
NaN,NaN,0.0,507.0,99.46236559139786,0.45483870967741935,NaN,0.0,NaN,423.0,0.3408996094554996,446.3030373577372,0.4798957390943411,0.24875673887177915,0.0,0.0,930.0,930.0,0.0,54.516129032258064,45.483870967741936,0.0,NaN,NaN,87.27903810557405,0.3434155282095333,0.0,1.0,NaN,0.0,0.5474904994186833,0.7761149704592304,0.45483870967741935,0.1809594799812038,0.5260572770295536,0.5451612903225806,0.8190405200187963,0.5451612903225806,2
NaN,NaN,0.0,495.0,99.35483870967742,0.46774193548387094,NaN,0.0,NaN,435.0,0.3327109370747485,429.57434418794327,0.4619078969762831,0.25149090881146335,0.0,0.0,930.0,930.0,0.0,53.225806451612904,46.774193548387096,0.0,NaN,NaN,88.23835170421344,0.3463787534544107,0.0,1.0,NaN,0.0,0.536453739702232,0.7675597761928238,0.46774193548387094,0.1753353667430913,0.5240595493408313,0.532258064516129,0.8246646332569088,0.532258064516129,3
NaN,NaN,0.0,507.0,99.56989247311827,0.45483870967741935,NaN,0.0,NaN,423.0,0.3418402173622079,444.30548245065256,0.4777478305920995,0.2483494342927555,0.0,0.0,930.0,930.0,0.0,54.516129032258064,45.483870967741936,0.0,NaN,NaN,87.13613081375831,0.3438974933882596,0.0,1.0,NaN,0.0,0.5403210725121654,0.7759928082873268,0.45483870967741935,0.17961511695430218,0.5285561828604894,0.5451612903225806,0.8203848830456979,0.5451612903225806,4
NaN,NaN,0.0,501.0,99.24731182795699,0.4612903225806452,NaN,0.0,NaN,429.0,0.33801239453445825,438.13380262193743,0.47111161572251337,0.2500784235073415,0.0,0.0,930.0,930.0,0.0,53.87096774193548,46.12903225806452,0.0,NaN,NaN,87.74276569821757,0.3453870112898182,0.0,1.0,NaN,0.0,0.5345491264124204,0.7685774825991146,0.4612903225806452,0.1784664259986353,0.5268664818509103,0.5387096774193548,0.8215335740013647,0.5387096774193548,5
NaN,NaN,0.0,502.0,99.13978494623656,0.46021505376344085,NaN,0.0,NaN,428.0,0.33768399053549025,446.56853148245614,0.4801812166478023,0.24858092597937917,0.0,0.0,930.0,930.0,0.0,53.97849462365591,46.02150537634409,0.0,NaN,NaN,87.21735221837076,0.34368052739078275,0.0,1.0,NaN,0.0,0.5413627744462853,0.7774978364901215,0.46021505376344085,0.17470048953660272,0.5244470918547318,0.5397849462365591,0.8252995104633972,0.5397849462365591,6
NaN,NaN,0.0,484.0,99.46236559139786,0.47956989247311826,NaN,0.0,NaN,446.0,0.31156732210343907,423.9572698872632,0.4558680321368421,0.252712286118884,0.0,0.0,930.0,930.0,0.0,52.043010752688176,47.956989247311824,0.0,NaN,NaN,88.66688536741839,0.34645278126239026,0.0,1.0,NaN,0.0,0.5408250994604679,0.7710725546313874,0.47956989247311826,0.18742314638275656,0.5072667626367828,0.5204301075268817,0.8125768536172433,0.5204301075268817,7
NaN,NaN,0.0,500.0,99.56989247311827,0.46236559139784944,NaN,0.0,NaN,430.0,0.3377823408624229,426.7419936492463,0.45886235876263043,0.25226259805982787,0.0,0.0,930.0,930.0,0.0,53.763440860215056,46.236559139784944,0.0,NaN,NaN,88.50910736542359,0.34566404401660206,0.0,1.0,NaN,0.0,0.5404351617579658,0.7759026036910982,0.46236559139784944,0.17578873633338968,0.5250159602643732,0.5376344086021505,0.8242112636666102,0.5376344086021505,8
NaN,NaN,0.0,482.0,99.24731182795699,0.4817204301075269,NaN,0.0,NaN,448.0,0.30704826911754435,418.91522034633834,0.4504464734906864,0.2522020279005561,0.0,0.0,930.0,930.0,0.0,51.82795698924731,48.17204301075269,0.0,NaN,NaN,88.4878556587839,0.3467534305472431,0.0,1.0,NaN,0.0,0.5316715390033662,0.7625408136523438,0.4817204301075269,0.18744378258215869,0.50511587862441,0.5182795698924731,0.8125562174178412,0.5182795698924731,9
NaN,NaN,0.0,511.0,99.24731182795699,0.4505376344086022,NaN,0.0,NaN,419.0,0.35818651083195113,441.7115364758702,0.47495864137190347,0.2501210356019383,0.0,0.0,930.0,930.0,0.0,54.946236559139784,45.053763440860216,0.0,NaN,NaN,87.75771662033101,0.3441469934193713,0.0,1.0,NaN,0.0,0.5461798518327193,0.7787180180721267,0.4505376344086022,0.16552560754682463,0.538076976909321,0.5494623655913978,0.8344743924531755,0.5494623655913978,10
