_id,_rev,alejado,app_foreground,battery_l,battery_t,bw,devid,df_delay,df_saltos,ds,dv_delay,dv_saltos,indice_en_prueba,indice_intervalo,mood,mos,ns,prueba_nro,ram,sdk,st,t_cpu,ts_from,ts_to
31c54b0060fa1a0c1f7ccff3615e336b,1-d71311d7a8574d7fa2a9e0a7b8402edc,104595,,,,6.069018849685839e-07,63958117e9438e16,195.66666666666666,2.0,6,56.0,8.0,1,0,,3,4.0,1,1313.6666666666667,24,4.0,36.96666666666667,1527697441890,1527697501890
31c54b0060fa1a0c1f7ccff3615e7ded,1-9841da6f2b565dc7dc45ae0dce8ee0b9,68500,com.whatsapp,87.0,31.566666666666666,8.779213679772004e-07,2440f9791015c9aa,79.66666666666667,2.0,8,30.0,8.0,1,0,4.0,5,4.0,1,648.3333333333334,24,3.0,31.566666666666666,1527695210473,1527695270473
31c54b0060fa1a0c1f7ccff3615ef60b,1-374a415dd8af880499cefb09537add05,3618959,,,,0,c8afba09e53d8531,,,4,,,1,8,,5,,3,,23,,,1528220668087,1528220728087
31c54b0060fa1a0c1f7ccff3615f1806,1-1fbe1d4a71af01282006777d6b420666,60000,,16.0,29.7,0,90a72847e24050d1,35.0,1.0,6,19.0,9.0,1,0,,5,,1,372.0,24,,42.0,1527624561785,1527624621785
31c54b0060fa1a0c1f7ccff3615f225f,1-61674981c4567b46bde07073e5e4438b,12591,,,,0,22dee25d96b05f3e,,,4,,,1,0,,5,,1,,23,,,1528248232324,1528248292324
31c54b0060fa1a0c1f7ccff3615fb06d,1-86851a182f037b2e58d1a756fbde7cec,479213,,,,3.392743454275762e-08,68af49bcc059f325,111.57142857142857,2.0,8,45.42857142857143,8.0,1,2,,3,4.0,1,1275.3333333333333,25,2.0,0.29866666666666664,1527709964192,1527710024192
31c54b0060fa1a0c1f7ccff36161f188,1-a5524419a63679d0bf9438bc11939045,54513,com.google.android.youtube,99.0,39.199999999999996,4.0015605073248784e-05,8e16d706819d2e0c,91.33333333333333,1.0,3,85.66666666666667,17.0,1,74,3.4,3,3.3466666666666667,6,845.3333333333334,22,2.6666666666666665,56.666666666666664,1526883785882,1526883845882
31c54b0060fa1a0c1f7ccff361620d88,1-21d1ec90782771e9e8027b6df38769ce,60000,org.pol.jmgo.qoesurveyor,,,9.121527974533758e-07,7bf44203a040cdc1,271.6666666666667,2.0,4,413.0,9.0,1,0,,3,3.4,1,225.5,23,,,1528253650352,1528253710352
31c54b0060fa1a0c1f7ccff3616251af,1-322033c4729a0c02116866d72b1e3991,63958,com.internet.speed.meter.lite,,,1.1537487708538191e-06,acf1f4860469c6fd,368.6666666666667,1.0,8,78.66666666666667,17.0,1,0,5.0,5,3.4,1,602.0,25,,40.34866666666667,1527542639110,1527542699110
31c54b0060fa1a0c1f7ccff3616256fe,1-858cb515f40d9192b4e0981808b438e5,68097,,,,1.2832170130497826e-05,94693d24cc813c3f,2964.5,3.0,7,107.5,9.0,1,0,3.0,3,3.485714285714286,1,538.0,23,,30.125,1528324093321,1528324153321
31c54b0060fa1a0c1f7ccff361626468,1-90017615bee7e450528f71d0d88b8d5e,60883,,24.0,29.166666666666668,4.4145584240262665e-06,21499054c7994fc4,281.3333333333333,2.0,6,53.333333333333336,9.0,1,0,,5,3.4,1,790.6666666666666,23,,53.666666666666664,1528397241489,1528397301489
31c54b0060fa1a0c1f7ccff361630c82,1-c490e11b986ae1f49921530516d9287f,2761,com.whatsapp,,,2.810033166113898e-07,7b3d12955096c795,,,5,,,1,16,,4,4.0,1,400.4,25,4.0,35.36,1528918688137,1528918748137
31c54b0060fa1a0c1f7ccff361632d64,1-a7332790fd70dce51be23d8be6f04f84,12794,,49.0,36.2,1.0952377460375662e-06,e2f3a59016564a22,73.0,2.0,6,45.0,8.0,1,0,3.6,5,,1,1611.0,23,,36.2,1527632311986,1527632371986
31c54b0060fa1a0c1f7ccff3616411e9,1-0b0733d8614e5bd1aa552b5746f05178,62587,com.sec.android.app.launcher,99.33333333333333,28.933333333333334,6.119898001699972e-09,751666ecdd98bfd3,232.5,1.0,3,226.5,17.0,1,0,3.0,1,3.3555555555555556,1,230.0,22,,44.0,1527692714059,1527692774059
31c54b0060fa1a0c1f7ccff36164220a,1-30c15c82e6e127b35931f81ec43e1ff5,119711,com.whatsapp,56.0,32.4,7.942667622206297e-07,c4a9b97bec0deec7,84.5,2.0,7,55.0,9.0,1,1,5.0,5,4.0,1,274.6666666666667,24,2.6666666666666665,48.333333333333336,1528227140073,1528227200073
31c54b0060fa1a0c1f7ccff36164560e,1-d38b335c8900629755a2470508e33f3b,126847,com.zerodesktop.appdetox.qualitytime,63.6,33.86,2.5607573207113217e-08,ffdd93d674719bbc,439.0,1.0,8,348.25,17.0,1,0,4.0,4,3.0,5,768.6,24,4.0,33.8,1527617646211,1527617706211
