_id,_rev,alejado,app_foreground,battery_l,battery_t,bw,devid,df_delay,df_saltos,ds,dv_delay,dv_saltos,indice_en_prueba,indice_intervalo,mood,mos,ns,prueba_nro,ram,sdk,st,t_cpu,ts_from,ts_to
31c54b0060fa1a0c1f7ccff3616699b4,1-2b7de0d9b8d199f2b76854071510dbfa,33514,org.pol.jmgo.qoesurveyor,46.0,32.2,1.0873418776353727e-07,9f174fc0bd3480a6,,,2,,,1,0,,5,4.0,1,274.0,22,,32.2,1527623012125,1527623072125
31c54b0060fa1a0c1f7ccff36166c417,1-0630518d95b0159782e3e1998d300455,53043,org.pol.jmgo.qoesurveyor,66.0,34.8,1.1149494175097081e-06,d88a327ce250630,14.0,1.0,7,6.0,10.0,1,4,3.0,5,4.0,13,1303.0,24,,34.7,1525359682788,1525359742788
31c54b0060fa1a0c1f7ccff361699d55,1-e9858e4fb969965562f98f28180c5b68,222874,com.android.chrome,84.0,26.666666666666668,0,9c19bb5d04be923e,,,6,,,4,30,3.0,1,2.5,7,400.3333333333333,24,4.0,33.0,1527772851755,1527772911755
31c54b0060fa1a0c1f7ccff3616a5158,1-8e4132ae851461f5f9e5fd4fb63e9fd7,69418,,,,0,790c227141314780,,,7,,,2,15,,4,,3,,22,,,1528296977345,1528297037345
31c54b0060fa1a0c1f7ccff3616ad8dc,1-696464f7a0aa4a3f97702138a6dad4d9,566996,com.google.android.youtube,93.33333333333333,29.0,0,bbe3002f6e378eed,79.0,1.0,6,85.5,17.0,10,9,3.0,4,,1,219.0,23,,28.875,1528231536477,1528231596477
31c54b0060fa1a0c1f7ccff3616b4409,1-d38dd24ad26a0d8de629b1e848da7cc6,585134,com.google.android.apps.docs,,,0,e64bbee157aededc,43.75,2.0,8,16.25,9.0,11,10,,4,4.0,1,1149.5,26,4.0,30.99675,1528282981795,1528283041795
31c54b0060fa1a0c1f7ccff3616b5146,1-5ae5fc262610317ccef2a4c66f8c3e88,57626,,,,4.407374543757604e-06,4192432e1cf42d52,,,7,,,1,0,,5,3.488888888888889,1,,21,,,1527617791493,1527617851493
31c54b0060fa1a0c1f7ccff3616baf03,1-a741ac42246c6b0f542d73879c1b8a84,572474,com.whatsapp,41.0,26.933333333333334,2.8084331927801203e-07,6e85b338913ae764,76.5,2.0,7,60.5,8.0,8,10,4.833333333333333,5,4.0,2,856.0,24,3.0,33.0,1528255898133,1528255958133
31c54b0060fa1a0c1f7ccff3616c125b,1-ba14e0df7784249f2c02c14e0a76e224,72437,,6.0,28.6,2.971132081131981e-05,d554e3b29fe24a3b,121.0,2.0,5,41.666666666666664,9.0,5,6,3.5,5,4.0,2,268.25,23,,48.55,1528228337536,1528228397536
31c54b0060fa1a0c1f7ccff3616c33cb,1-9da6588950130aac6b211e62d00ddd0c,118030,com.google.android.youtube,19.666666666666668,33.166666666666664,5.346258895685072e-05,c35c6393398f7068,153.5,2.0,6,30.5,9.0,1,0,5.0,5,4.0,1,460.6666666666667,24,3.0,57.0,1527450453002,1527450513002
31c54b0060fa1a0c1f7ccff3616ce3e6,1-bbb1a89572ed355114cc2d59d0870b3e,200656,,,,9.214566423892936e-06,4c3dfa2cea50e9bb,18.5,1.0,8,12.0,10.0,7,19,,2,,4,1249.75,26,,28.975,1526598527180,1526598587180
31c54b0060fa1a0c1f7ccff3616d8f92,1-454a77a36a7ac62bf450d74c341e06b9,505410,,20.0,23.696000000000005,0,332d672c51091609,110.0,1.0,6,130.5,10.0,9,8,3.0,5,3.5,1,430.76,24,4.0,47.92,1528270938966,1528270998966
31c54b0060fa1a0c1f7ccff3616e3c33,1-b8b725d5dd6ea4381faa2e0dc139f926,615505,com.google.android.youtube,53.0,30.899999999999995,1.6102307628206196e-05,61d848e7503b5852,66.5,2.0,6,20.5,9.0,11,24,,2,,3,437.0,24,,38.333333333333336,1527037021803,1527037081803
31c54b0060fa1a0c1f7ccff3616e4428,1-eb5b56303b6b5e6e5df647189cb53961,61617,com.adobe.reader,22.0,27.366666666666664,7.108651922467959e-05,867fe59be043d779,153.0,2.0,5,147.0,9.0,1,0,,5,3.371428571428571,1,177.0,21,,48.0,1528263748557,1528263808557
31c54b0060fa1a0c1f7ccff3616ea117,1-c979f3401642d6cdb2907a50a2b0d41c,60145,,57.0,31.7,3.296529057849036e-06,a1f8f29e35209a42,97.66666666666667,2.0,8,14.666666666666666,9.0,1,0,3.6666666666666665,5,4.0,1,358.3333333333333,24,4.0,31.083333333333332,1527538321702,1527538381702
31c54b0060fa1a0c1f7ccff3616f0ca9,1-370f9429c8e55a8a4a4166ca2bd1aaf1,536245,,83.0,30.25,0,4504da30b01769b7,123.0,2.0,6,28.0,9.0,11,10,5.0,3,,2,196.0,23,,30.0,1528339937948,1528339997948
31c54b0060fa1a0c1f7ccff3616f31cb,1-c6f96cc89129a0f66fb6ec3d01ed70fb,177559,,74.66666666666667,29.0,2.6464358927351214e-07,7e4cfd066dafa944,135.0,2.0,6,55.5,8.0,2,1,3.0,5,4.0,1,579.6666666666666,24,3.0,38.0,1528483612622,1528483672622
31c54b0060fa1a0c1f7ccff3616f9051,1-5cc656da731d05db9e5ed1cf2d521729,244926,com.facebook.katana,100.0,32.06666666666667,1.2921864635589407e-06,9de8b4b98c575ea5,118.5,2.0,7,54.5,8.0,3,10,4.0,4,4.0,3,622.3333333333334,24,4.0,32.06666666666667,1527694953588,1527695013588
31c54b0060fa1a0c1f7ccff3617036ce,1-0df653ab6eeb799911e8ca321856533a,60000,,,,0,5a92d851bc704d,,,6,,,1,7,,5,,2,,22,,,1527645150730,1527645210730
31c54b0060fa1a0c1f7ccff36170afc8,1-3d09556ff74325b0c5e3aa7f796bc5bb,307710,org.pol.jmgo.qoesurveyor,,,1.3622036966050566e-05,a6fb86ca165ca918,45.666666666666664,1.0,7,70.66666666666667,17.0,9,8,4.0,2,4.0,1,613.0,25,2.0,0.49766666666666665,1527621297749,1527621357749
31c54b0060fa1a0c1f7ccff3617114fd,1-1f50376e39db68f9a155ec8d145ce37f,663889,,,,4.320007999866669e-07,65e49509039eb913,,,7,,,5,4,4.0,2,,1,,24,,,1527619089617,1527619149617
31c54b0060fa1a0c1f7ccff36171c88d,1-825a4c22765fd83b294102b5668e52f0,147844,net.oneplus.launcher,79.0,31.676,1.2231716138064366e-06,247e4508ec4521f9,49.166666666666664,1.0,9,72.67796610169492,17.0,3,21,4.0,4,4.0,3,1110.6,26,2.0,31.676,1527473506695,1527473566695
31c54b0060fa1a0c1f7ccff36171d771,1-c061db13cd8e5918e84c7dce47043f26,60000,,,,0,6c3fa7f635a073f5,,,9,,,1,1,3.1666666666666665,3,,2,,27,,,1525397793046,1525397853046
